Policy ID,Purpose of the Security Policy,Scope of the Security Policy,Policy,Procedure,Roles and Responsibilities,Risk and Sanction,Incident Response,Creation Date,Last Updated,Status
POL-001,Risk assessment framework,All information incidents,Regular updates and patches,Apply updates weekly,Response Team for incidents,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-002,Risk assessment framework,All employees and contractors,Password complexity rules,Apply updates weekly,Management for risk assessments,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-003,Acceptable resource use,All systems and data,Password complexity rules,Report incidents in 24 hours,Response Team for incidents,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-004,Asset protection,All systems and data,Regular updates and patches,Report incidents in 24 hours,Admins for updates,Unmitigated risks,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-005,Define information boundaries,All network devices,Incident reporting protocol,Report incidents in 24 hours,Admins for updates,Unmitigated risks,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-006,Risk assessment framework,All information incidents,Access control implementation,Report incidents in 24 hours,Response Team for incidents,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-007,Acceptable resource use,All business units,Regular updates and patches,Report incidents in 24 hours,Employees for password compliance,Unmitigated risks,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-008,Risk assessment framework,All network devices,Quarterly risk assessments,Minimum 12-character passwords,Employees for password compliance,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-009,Acceptable resource use,All network devices,Incident reporting protocol,Document access requests,Admins for updates,Access revocation for violations,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-010,Acceptable resource use,All network devices,Quarterly risk assessments,Apply updates weekly,Management for risk assessments,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-011,Risk assessment framework,All business units,Quarterly risk assessments,Minimum 12-character passwords,Management for risk assessments,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-012,Incident communication,All systems and data,Access control implementation,Minimum 12-character passwords,IT Security Team for access control,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-013,Risk assessment framework,All network devices,Incident reporting protocol,Report incidents in 24 hours,Employees for password compliance,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-014,Incident communication,All systems and data,Incident reporting protocol,Apply updates weekly,Response Team for incidents,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-015,Define information boundaries,All information incidents,Password complexity rules,Document risk findings quarterly,Employees for password compliance,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Active
POL-016,Define information boundaries,All business units,Incident reporting protocol,Document access requests,Management for risk assessments,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-017,Acceptable resource use,All network devices,Regular updates and patches,Document access requests,Management for risk assessments,Security breach penalties,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-018,Risk assessment framework,All network devices,Access control implementation,Minimum 12-character passwords,Management for risk assessments,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Active
POL-019,Incident communication,All employees and contractors,Quarterly risk assessments,Document risk findings quarterly,Response Team for incidents,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Active
POL-020,Define information boundaries,All business units,Quarterly risk assessments,Minimum 12-character passwords,IT Security Team for access control,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-021,Incident communication,All network devices,Quarterly risk assessments,Apply updates weekly,Employees for password compliance,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-022,Risk assessment framework,All employees and contractors,Regular updates and patches,Document risk findings quarterly,Management for risk assessments,Damage control for delays,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-023,Risk assessment framework,All information incidents,Regular updates and patches,Apply updates weekly,Management for risk assessments,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-024,Acceptable resource use,All systems and data,Access control implementation,Apply updates weekly,Admins for updates,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-025,Define information boundaries,All network devices,Access control implementation,Apply updates weekly,Admins for updates,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-026,Risk assessment framework,All business units,Incident reporting protocol,Document risk findings quarterly,Admins for updates,Disciplinary actions,Notify affected parties,2024-09-24,2024-09-24,Active
POL-027,Risk assessment framework,All employees and contractors,Access control implementation,Document access requests,Admins for updates,Damage control for delays,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-028,Incident communication,All business units,Regular updates and patches,Report incidents in 24 hours,Response Team for incidents,Unmitigated risks,Notify affected parties,2024-09-24,2024-09-24,Active
POL-029,Asset protection,All systems and data,Incident reporting protocol,Minimum 12-character passwords,Admins for updates,Disciplinary actions,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-030,Asset protection,All network devices,Regular updates and patches,Report incidents in 24 hours,Response Team for incidents,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-031,Define information boundaries,All employees and contractors,Password complexity rules,Report incidents in 24 hours,Management for risk assessments,Unmitigated risks,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-032,Risk assessment framework,All information incidents,Quarterly risk assessments,Minimum 12-character passwords,Management for risk assessments,Unmitigated risks,Notify affected parties,2024-09-24,2024-09-24,Active
POL-033,Incident communication,All network devices,Incident reporting protocol,Document access requests,IT Security Team for access control,Unmitigated risks,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-034,Risk assessment framework,All information incidents,Quarterly risk assessments,Apply updates weekly,Admins for updates,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-035,Asset protection,All business units,Regular updates and patches,Document risk findings quarterly,Employees for password compliance,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Active
POL-036,Asset protection,All network devices,Incident reporting protocol,Document access requests,Employees for password compliance,Disciplinary actions,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-037,Acceptable resource use,All network devices,Password complexity rules,Document access requests,Admins for updates,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-038,Define information boundaries,All business units,Access control implementation,Report incidents in 24 hours,IT Security Team for access control,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-039,Risk assessment framework,All employees and contractors,Regular updates and patches,Document access requests,Admins for updates,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-040,Risk assessment framework,All employees and contractors,Access control implementation,Apply updates weekly,Response Team for incidents,Disciplinary actions,Document all incidents,2024-09-24,2024-09-24,Active
POL-041,Incident communication,All network devices,Password complexity rules,Report incidents in 24 hours,IT Security Team for access control,Disciplinary actions,Immediate access revocation,2024-09-24,2024-09-24,Inactive
